MonthEnd,monthly_return,portfolio_value,n_start_positions,n_active_positions,n_carried_missing,n_terminal_zero,FiscalYear,RebalanceDate,Strategy,Experiment,Universe,Model,SectorScope,WindowYears
2022-08-31,-0.049890231686351,0.8521127746645708,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2022-09-30,-0.0941837583586693,0.7718575910012276,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2022-10-31,0.0797100354073416,0.833382386909361,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2022-11-30,0.0824404320279437,0.9020867909306476,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2022-12-31,-0.0527303382428137,0.8545194493205003,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-01-31,0.1030957329875235,0.9426167583002922,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-02-28,-0.0366136795084808,0.9081040904125622,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-03-31,0.0408558161409402,0.9452054241672936,17,17,0,0,2021,2022-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-04-30,0.0178385204987328,1.017838520498733,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-05-31,-0.0351046004684408,0.982107705895236,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-06-30,0.0699250466482579,1.050781633043574,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-07-31,0.0248641360469381,1.0769084105231932,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-08-31,-0.028265483510336,1.0464690736034077,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-09-30,-0.0622510424427442,0.9813252828875026,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-10-31,-0.0412185998351305,0.9408764287440664,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-11-30,0.1189090391123284,1.0527551408094624,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2023-12-31,0.0512264229321113,1.1066840208965223,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-01-31,0.0139402991866066,1.1221115272528566,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-02-29,0.0462650382452127,1.174026059976604,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-03-31,0.0370929387049767,1.2175741366573616,18,18,0,0,2022,2023-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-04-30,-0.0451390033801192,0.954860996619881,18,18,0,0,2023,2024-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-05-31,0.0181747869684403,0.97221539181792,18,18,0,0,2023,2024-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-06-30,0.0018034988698762,0.9739687811783398,18,18,0,0,2023,2024-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-07-31,0.0078531307088647,0.981617485323287,18,18,0,0,2023,2024-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-08-31,0.0331007129620843,1.0141097239435362,18,18,0,0,2023,2024-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-09-30,0.0203469363414485,1.0347437499398593,18,18,0,0,2023,2024-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-10-31,-0.0108520372853579,1.0235146721847208,18,18,0,0,2023,2024-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-11-30,0.0444983568748287,1.0690593933342198,18,18,0,0,2023,2024-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2024-12-31,-0.03716651328704,1.029326183187229,18,18,0,0,2023,2024-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2025-01-31,0.0251972329013039,1.0552623547564075,18,18,0,0,2023,2024-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
2025-02-28,0.0264255707262999,1.083148264746825,18,18,0,0,2023,2024-03-31,gap_top_5pct,sp500_mse_all_w5,S&P500,mse,all,5
