ticker,company_name,first_year,last_year,sp500_years,current_price_ticker,price_ticker_to_fill,reason,notes
DISCA,"Discovery, Inc.",2011,2021,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",DISCA,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DISCA?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
DNB,Dun & Bradstreet,2011,2016,"2011,2012,2013,2014,2015,2016",DNB,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DNB?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
DNR,Denbury Resources,2011,2014,"2011,2012,2013,2014",DNR,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DNR?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
DO,Diamond Offshore Drilling,2011,2015,"2011,2012,2013,2014,2015",DO,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DO?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
DPS,Dr Pepper Snapple Group,2011,2017,"2011,2012,2013,2014,2015,2016,2017",DPS,,empty dataframe,
DTV,DirecTV,2011,2014,"2011,2012,2013,2014",DTV,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DTV?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
ETFC,E-Trade,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",ETFC,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ETFC?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
FDO,Family Dollar,2011,2014,"2011,2012,2013,2014",FDO,,empty dataframe,
FII,Federated Investors,2011,2012,"2011,2012",FII,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/FII?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
FLIR,FLIR Systems,2011,2020,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",FLIR,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/FLIR?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
FRX,Forest Laboratories,2011,2013,"2011,2012,2013",FRX,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/FRX?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
FTR,Frontier Communications,2011,2016,"2011,2012,2013,2014,2015,2016",FTR,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/FTR?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
GAS,AGL Resources,2011,2015,"2011,2012,2013,2014,2015",GAS,,empty dataframe,
GPS,Gap,2011,2021,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",GPS,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/GPS?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
HCBK,Hudson City Bancorp,2011,2014,"2011,2012,2013,2014",HCBK,,empty dataframe,
HES,Hess Corporation,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",HES,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/HES?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
HNZ,Heinz,2011,2012,"2011,2012",HNZ,,empty dataframe,
HSP,Hospira,2011,2014,"2011,2012,2013,2014",HSP,,empty dataframe,
IGT,International Game Technology,2011,2013,"2011,2012,2013",IGT,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/IGT?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
IPG,Interpublic Group,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",IPG,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/IPG?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
JCP,JCPenney,2011,2012,"2011,2012",JCP,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/JCP?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
JDSU,JDS Uniphase,2011,2012,"2011,2012",JDSU,,empty dataframe,
JNPR,Juniper Networks,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",JNPR,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/JNPR?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
JOY,Joy Global,2011,2014,"2011,2012,2013,2014",JOY,,empty dataframe,
JWN,Nordstrom,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",JWN,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/JWN?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
K,Kellanova,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",K,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/K?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
KFT,Kraft Foods,2011,2011,2011,KFT,,empty dataframe,
LLL,L3 Technologies,2011,2018,"2011,2012,2013,2014,2015,2016,2017,2018",LLL,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/LLL?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
LLTC,Linear Technology,2011,2016,"2011,2012,2013,2014,2015,2016",LLTC,,empty dataframe,
LM,Legg Mason,2011,2015,"2011,2012,2013,2014,2015",LM,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/LM?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
LO,Lorillard Tobacco Company,2011,2014,"2011,2012,2013,2014",LO,,empty dataframe,
LSI,LSI Corporation,2011,2013,"2011,2012,2013",LSI,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/LSI?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
LXK,Lexmark,2011,2011,2011,LXK,,empty dataframe,
MJN,Mead Johnson,2011,2016,"2011,2012,2013,2014,2015,2016",MJN,,empty dataframe,
MON,Monsanto,2011,2017,"2011,2012,2013,2014,2015,2016,2017",MON,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/MON?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
MRO,Marathon Oil,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",MRO,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/MRO?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
NBL,Noble Energy,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",NBL,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/NBL?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
NVLS,Novellus Systems,2011,2011,2011,NVLS,,empty dataframe,
NYX,NYSE Euronext,2011,2012,"2011,2012",NYX,,empty dataframe,
PBCT,People's United Financial,2011,2021,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",PBCT,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/PBCT?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
PCP,Precision Castparts Corporation,2011,2015,"2011,2012,2013,2014,2015",PCP,,empty dataframe,
PDCO,Patterson Companies,2011,2017,"2011,2012,2013,2014,2015,2016,2017",PDCO,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/PDCO?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
PGN,Progress Energy,2011,2011,2011,PGN,,empty dataframe,
PLL,Pall Corporation,2011,2014,"2011,2012,2013,2014",PLL,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/PLL?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
PXD,Pioneer Natural Resources,2011,2023,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",PXD,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/PXD?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
QEP,QEP Resources,2011,2014,"2011,2012,2013,2014",QEP,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/QEP?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
RAI,Reynolds American,2011,2016,"2011,2012,2013,2014,2015,2016",RAI,,empty dataframe,
RDC,Rowan Companies,2011,2013,"2011,2012,2013",RDC,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/RDC?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
RHT,Red Hat,2011,2018,"2011,2012,2013,2014,2015,2016,2017,2018",RHT,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/RHT?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
RRD,RR Donnelley,2011,2011,2011,RRD,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/RRD?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
RTN,Raytheon Company,2011,2019,"2011,2012,2013,2014,2015,2016,2017,2018,2019",RTN,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/RTN?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
SAI,SAIC,2011,2012,"2011,2012",SAI,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/SAI?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
SIAL,Sigma-Aldrich,2011,2014,"2011,2012,2013,2014",SIAL,,empty dataframe,
SNI,Scripps Networks Interactive,2011,2017,"2011,2012,2013,2014,2015,2016,2017",SNI,,empty dataframe,
SRCL,Stericycle,2011,2017,"2011,2012,2013,2014,2015,2016,2017",SRCL,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/SRCL?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
STJ,St Jude Medical,2011,2016,"2011,2012,2013,2014,2015,2016",STJ,,empty dataframe,
SWN,Southwestern Energy,2011,2016,"2011,2012,2013,2014,2015,2016",SWN,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/SWN?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
SWY,Safeway,2011,2014,"2011,2012,2013,2014",SWY,,empty dataframe,
TGNA,Tegna,2011,2016,"2011,2012,2013,2014,2015,2016",TGNA,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/TGNA?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
TIF,Tiffany & Co,2011,2020,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",TIF,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/TIF?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
TSS,TSYS,2011,2018,"2011,2012,2013,2014,2015,2016,2017,2018",TSS,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/TSS?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
TWC,Time Warner Cable,2011,2015,"2011,2012,2013,2014,2015",TWC,,empty dataframe,
TYC,Tyco International,2011,2015,"2011,2012,2013,2014,2015",TYC,,empty dataframe,
VAR,Varian Medical Systems,2011,2020,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",VAR,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/VAR?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
VIAB,Viacom,2011,2018,"2011,2012,2013,2014,2015,2016,2017,2018",VIAB,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/VIAB?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
WBA,Walgreens Boots Alliance,2011,2024,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",WBA,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/WBA?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
WFM,Whole Foods Market,2011,2016,"2011,2012,2013,2014,2015,2016",WFM,,empty dataframe,
WIN,Windstream Communications,2011,2014,"2011,2012,2013,2014",WIN,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/WIN?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
WPX,WPX Energy,2011,2013,"2011,2012,2013",WPX,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/WPX?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
WYN,Wyndham Worldwide,2011,2017,"2011,2012,2013,2014,2015,2016,2017",WYN,,empty dataframe,
X,United States Steel,2011,2013,"2011,2012,2013",X,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/X?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
XL,XL Group,2011,2017,"2011,2012,2013,2014,2015,2016,2017",XL,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/XL?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
XLNX,Xilinx,2011,2021,"2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021",XLNX,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/XLNX?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
YHOO,Yahoo!,2011,2016,"2011,2012,2013,2014,2015,2016",YHOO,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/YHOO?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
ALXN,Alexion Pharmaceuticals,2012,2020,"2012,2013,2014,2015,2016,2017,2018,2019,2020",ALXN,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ALXN?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
ESV,Ensco,2012,2015,"2012,2013,2014,2015",ESV,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ESV?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
KRFT,Kraft Foods,2012,2014,"2012,2013,2014",KRFT,,empty dataframe,
PETM,PetSmart,2012,2014,"2012,2013,2014",PETM,,empty dataframe,
ADS,Alliance Data Systems,2013,2019,"2013,2014,2015,2016,2017,2018,2019",ADS,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ADS?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
GGP,GGP,2013,2017,"2013,2014,2015,2016,2017",GGP,,empty dataframe,
KSU,Kansas City Southern,2013,2020,"2013,2014,2015,2016,2017,2018,2019,2020",KSU,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/KSU?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
NLSN,Nielsen Holdings,2013,2021,"2013,2014,2015,2016,2017,2018,2019,2020,2021",NLSN,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/NLSN?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
DISCK,"Discovery, Inc.",2014,2021,"2014,2015,2016,2017,2018,2019,2020,2021",DISCK,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DISCK?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
GMCR,Keurig Green Mountain,2014,2015,"2014,2015",GMCR,,empty dataframe,
LVLT,Level 3 Communications,2014,2016,"2014,2015,2016",LVLT,,empty dataframe,
MNK,Mallinckrodt,2014,2016,"2014,2015,2016",MNK,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/MNK?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
XEC,Cimarex Energy,2014,2019,"2014,2015,2016,2017,2018,2019",XEC,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/XEC?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
ATVI,Activision Blizzard,2015,2022,"2015,2016,2017,2018,2019,2020,2021,2022",ATVI,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ATVI?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
BXLT,Baxalta,2015,2015,2015,BXLT,,empty dataframe,
CPGX,Columbia Pipeline Group,2015,2015,2015,CPGX,,empty dataframe,
ENDP,Endo International,2015,2016,"2015,2016",ENDP,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ENDP?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
HBI,Hanesbrands,2015,2020,"2015,2016,2017,2018,2019,2020",HBI,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/HBI?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
ARNC,Arconic,2016,2019,"2016,2017,2018,2019",ARNC,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ARNC?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
CXO,Concho Resources,2016,2020,"2016,2017,2018,2019,2020",CXO,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CXO?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
FBHS,Fortune Brands Home & Security,2016,2021,"2016,2017,2018,2019,2020,2021",FBHS,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/FBHS?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
FL,Foot Locker,2016,2018,"2016,2017,2018",FL,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/FL?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
ANSS,Ansys,2017,2024,"2017,2018,2019,2020,2021,2022,2023,2024",ANSS,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ANSS?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
DISH,Dish Network,2017,2022,"2017,2018,2019,2020,2021,2022",DISH,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DISH?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
DRE,Duke Realty,2017,2021,"2017,2018,2019,2020,2021",DRE,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DRE?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
DWDP,DuPont,2017,2018,"2017,2018",DWDP,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/DWDP?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
ABMD,Abiomed,2018,2021,"2018,2019,2020,2021",ABMD,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/ABMD?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
HFC,HollyFrontier,2018,2020,"2018,2019,2020",HFC,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/HFC?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
MXIM,Maxim Integrated,2018,2020,"2018,2019,2020",MXIM,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/MXIM?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
SIVB,SVB Financial Group,2018,2022,"2018,2019,2020,2021,2022",SIVB,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/SIVB?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
TWTR,Twitter,2018,2021,"2018,2019,2020,2021",TWTR,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/TWTR?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
WCG,WellCare,2018,2019,"2018,2019",WCG,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/WCG?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
FRC,First Republic Bank,2019,2022,"2019,2020,2021,2022",FRC,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/FRC?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
CTLT,Catalent,2020,2023,"2020,2021,2022,2023",CTLT,,HTTPError: 404 Client Error: Not Found for url: https://query1.finance.yahoo.com/v8/finance/chart/CTLT?period1=1293840000&period2=1780099200&interval=1d&events=history&includeAdjustedClose=true,
